Name,Price,old_price,link,rating,percentage
Hp 15 Intel Pentium Gold 8GB RAM  1TB HDD Windows 10 + Free Mouse,"₦ 247,990","₦ 298,000",https://www.jumia.com.ng/laptops//hp-15-intel-pentium-gold-8gb-ram-1tb-hdd-windows-10-free-mouse-118436780.html,4.8 out of 5,17%
Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse,"₦ 189,950","₦ 225,000",https://www.jumia.com.ng/laptops//hp-15-intel-celeron-n4020-8gb-ram-1tb-hdd-windows-10-mouse-105653173.html,4.4 out of 5,16%
Hp Stream 11 Intel Celeron Quad Core 4GB RAM / 64GB SSD Windows 10 + USD LIGHT & POUCH,"₦ 169,999","₦ 200,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-quad-core-4gb-ram-64gb-ssd-windows-10-usd-light-pouch-80325968.html,5 out of 5,15%
"Hp CHROMEBOOK11, CELERON, 4GB RAM,16GB SSD + 32GBFLASH","₦ 90,000","₦ 130,000",https://www.jumia.com.ng/laptops//hp-chromebook11-celeron-4gb-ram16gb-ssd-32gbflash-150596979.html,,31%
"Hp CHROMEBOOK  INTEL CELERON  N3060 1.6GHZ,,4GB RAM,16GB STORAGE 11.6","₦ 83,000",,https://www.jumia.com.ng/laptops//hp-chromebook-intel-celeron-n3060-1.6ghz4gb-ram16gb-storage-11.6-36888369.html,,
Hp ProBook 11 X360- TOUCH Intel Pentium 128GB SSD- 4GB RAM WIN10 Pro,"₦ 140,000","₦ 175,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-touch-intel-pentium-128gb-ssd-4gb-ram-win10-pro-132231791.html,4.8 out of 5,20%
"Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD, Wins 10+ Free Mouse","₦ 190,400",,https://www.jumia.com.ng/laptops//hp-15-intel-celeron-n4020-8gb-ram-1tb-hdd-wins-10-free-mouse-121128265.html,,
Hp Notebook 15 Intel Core I3 10TH GEN 1TB HDD - 16gb Ram Windows 10 Pro + HP MOUSE & USB LED LIGHT,"₦ 295,000","₦ 350,000",https://www.jumia.com.ng/laptops//hp-notebook-15-intel-core-i3-10th-gen-1tb-hdd-16gb-ram-windows-10-pro-hp-mouse-usb-led-light-107060623.html,3.6 out of 5,16%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ BAG,"₦ 110,000","₦ 170,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-dc-4gb-ram-64gb-hdd-win-10-bag-76592271.html,4 out of 5,35%
Hp Notebook 15- AMD RYZEN 3 - 16GB RAM/1TB HDD 2.6GHz - 3.5GHz- Windows 11,"₦ 260,000",,https://www.jumia.com.ng/laptops//hp-notebook-15-amd-ryzen-3-16gb-ram1tb-hdd-2.6ghz-3.5ghz-windows-11-38307401.html,5 out of 5,
"Hp CHROMEBOOK11, CELERON, 4GB RAM,16GB SSD + 32GBFLASH","₦ 90,000","₦ 102,000",https://www.jumia.com.ng/laptops//hp-chromebook11-celeron-4gb-ram16gb-ssd-32gbflash-150601845.html,5 out of 5,12%
Hp Stream 11 Intel Celeron Quad Core 4GB RAM / 64GB SSD Windows 10 + USD LIGHT & POUCH,"₦ 169,999","₦ 200,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-quad-core-4gb-ram-64gb-ssd-windows-10-usd-light-pouch-80173067.html,4 out of 5,15%
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch Mouse,"₦ 108,000","₦ 150,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-64gb-ssd4gb-rampouch-mouse-82974010.html,3 out of 5,28%
"Hp CHROMEBOOK11, CELERON, 4GB RAM,16GB SSD + BAG","₦ 119,000","₦ 120,000",https://www.jumia.com.ng/laptops//hp-chromebook11-celeron-4gb-ram16gb-ssd-bag-196110664.html,2 out of 5,1%
Hp Laptop 15- AMD RYZEN 3 -16GB RAM/256GB SSD- 2.6GHz - 3.5GHz- Windows 10 PRO,"₦ 260,000",,https://www.jumia.com.ng/laptops//hp-laptop-15-amd-ryzen-3-16gb-ram256gb-ssd-2.6ghz-3.5ghz-windows-10-pro-71485732.html,4.7 out of 5,
