Name,Price,old_price,link,rating,discount_percentage
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro,"₦ 122,375","₦ 125,000",https://www.jumia.com.ng/laptops//stream11intel-celeron-dc-64gb-hdd4gb-ramwin10-pro-hp-mpg2716340.html,4.5 out of 5,2%
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro,"₦ 180,000",,https://www.jumia.com.ng/laptops//hp-probook-11-x360-touch-intel-celeron-128gb-4gb-ram-win10-pro-185614104.html,,
Hp EliteBook 840 G6 Touchscreen Intel Core I5 16GB RAM/512GB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 515,000","₦ 770,900",https://www.jumia.com.ng/laptops//15-intel-celeron-n4020-8gb-ram-1tb-hdd-15.6-wins-10-mouse-hp-mpg2160623.html,3.8 out of 5,33%
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 261,393","₦ 800,000",https://www.jumia.com.ng/laptops//probook-11-x360-touch-512gb-ssd4gb-ram-intel-celeron-quad-core-win10-pro-mouse-usb-light-hp-mpg3400834.html,4.3 out of 5,67%
"Hp Refurbished HP EliteBook 840G1 14"" Intel I5 4th Gen, 8-500GB","₦ 279,422",,https://www.jumia.com.ng/laptops//hp-refurbished-hp-elitebook-840g1-14-intel-i5-4th-gen-8-500gb-270404617.html,4 out of 5,
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 127,270","₦ 190,000",https://www.jumia.com.ng/laptops//hp-stream-11-pro-intel-celeron-4gb-ram-64gb-ssd-windows-10-pro-mouse-usb-light-for-keyboard-133338292.html,4.3 out of 5,33%
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 146,850","₦ 150,000",https://www.jumia.com.ng/laptops//stream-11-laptop-intel-celeron-64gb-ssd-4gb-ram-windows-10-pro-mouse-usb-light-for-keyboard-hp-mpg3704191.html,4.1 out of 5,2%
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 190,905","₦ 220,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-intel-pentium-256gb-ssd-touchscreen-4gb-ram-windows10-pro-laptop-pouch-209266562.html,3.7 out of 5,13%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ BAG AND LIGHT FOR Keyboard,"₦ 146,850","₦ 150,000",https://www.jumia.com.ng/laptops//hp-stream-11-pro-intel-celeron-4gb-ram-64gb-ssd-windows-10-pro-bag-and-light-for-keyboard-77251597.html,4 out of 5,2%
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,"₦ 122,375","₦ 150,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-64gb-ssd4gb-rampouch-82974010.html,4.3 out of 5,18%
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+pouch Win10,"₦ 121,396","₦ 124,000",https://www.jumia.com.ng/laptops//hp-stream11intel-celeron-dc-64gb-hdd4gb-rampouch-win10-252746661.html,,2%
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 565,950","₦ 770,900",https://www.jumia.com.ng/laptops//15-intel-celeron-n4020-15.6-8gb-ram1tb-hdd-win-10-free-mouse-led-lamp-for-keyboard-hp-mpg2160701.html,4.3 out of 5,27%
Hp EliteBook 840 G6 Touchscreen Intel Core I5 Backlit Keyboard 16GB RAM/1TB SSD Win 11 Pro,"₦ 565,000","₦ 750,000",https://www.jumia.com.ng/laptops//hp-elitebook-840-g6-touchscreen-intel-core-i5-backlit-keyboard-16gb-ram1tb-ssd-win-11-pro-129883010.html,,25%
Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse,"₦ 146,850","₦ 200,000",https://www.jumia.com.ng/laptops//stream-11-pro-g5-touchscreen-128gb-ssd-intel-celeron-4gb-ddr4-ram-win10-pro-bag-hp-mpg3400816.html,4.8 out of 5,27%
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse,"₦ 520,800",,https://www.jumia.com.ng/laptops//elitebook-840-g6-intel-core-i5-16gb-ram512gb-ssdbacklit-keyboardfp-reader-windows-11-pro-bag-hp-mpg4091619.html,,
Hp Stream 11 Intel Celeron 4gb Ram 64gb HDD Win 10+ Keyboard Flash Light,"₦ 135,000","₦ 300,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-4gb-ram-64gb-hdd-win-10-keyboard-flash-light-257643270.html,,55%
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT","₦ 105,000",,https://www.jumia.com.ng/laptops//hp-stream-11-2gb-32gb-ssd-32gb-flashusb-led-light-252809465.html,,
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,"₦ 195,800","₦ 398,450",https://www.jumia.com.ng/laptops//hp-probook-11-x360-touch-intel-celeron-256gb-4gb-ram-win10-pro-usb-light-for-keyboard-71668817.html,5 out of 5,51%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 146,850","₦ 180,000",https://www.jumia.com.ng/laptops//hp-stream-11-pro-intel-celeron-4gb-ram-64gb-ssd-windows-10-pro-mouse-usb-light-for-keyboard-120957721.html,4 out of 5,18%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 485,000","₦ 570,000",https://www.jumia.com.ng/laptops//hp-elitebook-840-g6-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboardfp-reader-win-11-pro-laptopbag-230396572.html,3.9 out of 5,15%
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,64GB WINDOWS 10","₦ 105,000",,https://www.jumia.com.ng/laptops//chromebook-intel-celeron-4gb-ram64gb-windows-10-hp-mpg2818652.html,,
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 203,632","₦ 230,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-intel-pentium-256gb-ssd-touchscreen-4gb-ram-windows10-pro-laptop-pouch-73123338.html,4.3 out of 5,11%
Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO,"₦ 832,150","₦ 890,000",https://www.jumia.com.ng/laptops//hp-elitebook-830-g7-touch-screen-intel-core-i7-512ssd-16gb-ram-backlit-keyboard-windows-11pro-263565398.html,4 out of 5,7%
